case,T_s,x_value,x_units,total_rate,Dgt0_rate,Deq0_rate
PSA0p2,0.2,0.0220133110749,g,0.00893250308624,0.000915946092565,0.00801655699368
PSA0p2,0.2,0.022320164693,g,0.0089308644326,0.000915946083979,0.00801491834862
PSA0p2,0.2,0.022631295684,g,0.00892916553099,0.000915946074621,0.00801321945637
PSA0p2,0.2,0.0229467636723,g,0.00892740460935,0.000915946064423,0.00801145854493
PSA0p2,0.2,0.0232666291133,g,0.0089255798623,0.000915946053315,0.00800963380899
PSA0p2,0.2,0.0235909533051,g,0.00892368945129,0.000915946041221,0.00800774341006
PSA0p2,0.2,0.0239197984002,g,0.00892173150468,0.000915946028057,0.00800578547662
PSA0p2,0.2,0.0242532274176,g,0.00891970411797,0.000915946013736,0.00800375810423
PSA0p2,0.2,0.0245913042547,g,0.00891760535398,0.000915945998159,0.00800165935582
PSA0p2,0.2,0.0249340936995,g,0.0089154332431,0.000915945981225,0.00799948726187
PSA0p2,0.2,0.0252816614433,g,0.00891318578357,0.000915945962821,0.00799723982075
PSA0p2,0.2,0.025634074093,g,0.00891086094179,0.000915945942828,0.00799491499897
PSA0p2,0.2,0.0259913991838,g,0.00890845665268,0.000915945921116,0.00799251073156
PSA0p2,0.2,0.0263537051927,g,0.00890597082002,0.000915945897547,0.00799002492248
PSA0p2,0.2,0.0267210615508,g,0.00890340131695,0.000915945871971,0.00798745544498
PSA0p2,0.2,0.0270935386573,g,0.00890074598635,0.000915945844227,0.00798480014213
PSA0p2,0.2,0.0274712078927,g,0.00889800264139,0.000915945814144,0.00798205682725
PSA0p2,0.2,0.0278541416324,g,0.00889516906603,0.000915945781537,0.00797922328449
PSA0p2,0.2,0.0282424132608,g,0.0088922430156,0.000915945746206,0.00797629726939
PSA0p2,0.2,0.0286360971851,g,0.00888922221741,0.000915945707939,0.00797327650947
PSA0p2,0.2,0.0290352688498,g,0.00888610437139,0.000915945666507,0.00797015870489
PSA0p2,0.2,0.029440004751,g,0.00888288715079,0.000915945621665,0.00796694152912
PSA0p2,0.2,0.0298503824512,g,0.00887956820287,0.00091594557315,0.00796362262972
PSA0p2,0.2,0.030266480594,g,0.0088761451497,0.000915945520681,0.00796019962902
PSA0p2,0.2,0.0306883789192,g,0.00887261558892,0.000915945463949,0.00795667012498
PSA0p2,0.2,0.0311161582782,g,0.00886897709458,0.00091594540262,0.00795303169196
PSA0p2,0.2,0.0315499006496,g,0.00886522721804,0.000915945336363,0.00794928188168
PSA0p2,0.2,0.0319896891543,g,0.00886136348883,0.000915945264812,0.00794541822402
PSA0p2,0.2,0.0324356080724,g,0.00885738341563,0.000915945187572,0.00794143822806
PSA0p2,0.2,0.0328877428583,g,0.00885328448724,0.000915945104221,0.00793733938302
PSA0p2,0.2,0.0333461801579,g,0.00884906417356,0.000915945014309,0.00793311915925
PSA0p2,0.2,0.0338110078248,g,0.0088447199267,0.000915944917357,0.00792877500934
PSA0p2,0.2,0.0342823149373,g,0.00884024918201,0.000915944812852,0.00792430436915
PSA0p2,0.2,0.0347601918154,g,0.00883564935918,0.000915944700246,0.00791970465894
PSA0p2,0.2,0.035244730038,g,0.00883091786351,0.000915944578957,0.00791497328456
PSA0p2,0.2,0.0357360224607,g,0.00882605208696,0.000915944448363,0.00791010763859
PSA0p2,0.2,0.0362341632332,g,0.00882104940938,0.000915944307802,0.00790510510158
PSA0p2,0.2,0.036739247818,g,0.00881590719983,0.00091594415657,0.00789996304326
PSA0p2,0.2,0.037251373008,g,0.00881062281771,0.000915943993893,0.00789467882382
PSA0p2,0.2,0.0377706369454,g,0.00880519361421,0.00091594381898,0.00788924979523
PSA0p2,0.2,0.0382971391405,g,0.00879961693356,0.000915943630992,0.00788367330257
PSA0p2,0.2,0.0388309804906,g,0.00879389011435,0.000915943429024,0.00787794668533
PSA0p2,0.2,0.0393722632996,g,0.00878801049096,0.000915943212116,0.00787206727885
PSA0p2,0.2,0.0399210912975,g,0.00878197539491,0.000915942979248,0.00786603241567
PSA0p2,0.2,0.04047756966,g,0.00877578215631,0.000915942729336,0.00785983942697
PSA0p2,0.2,0.041041805029,g,0.00876942810526,0.000915942461231,0.00785348564403
PSA0p2,0.2,0.0416139055332,g,0.00876291057335,0.000915942173711,0.00784696839964
PSA0p2,0.2,0.0421939808081,g,0.00875622689509,0.000915941865483,0.00784028502961
PSA0p2,0.2,0.0427821420177,g,0.00874937440944,0.000915941535174,0.00783343287427
PSA0p2,0.2,0.0433785018756,g,0.00874235046126,0.000915941181329,0.00782640927994
PSA0p2,0.2,0.0439831746665,g,0.00873515240289,0.000915940802406,0.00781921160049
PSA0p2,0.2,0.0445962762682,g,0.00872777759563,0.000915940396774,0.00781183719886
PSA0p2,0.2,0.0452179241737,g,0.00872022341129,0.000915939962703,0.00780428344859
PSA0p2,0.2,0.0458482375139,g,0.00871248723371,0.000915939498364,0.00779654773535
PSA0p2,0.2,0.0464873370802,g,0.00870456646033,0.000915939001816,0.00778862745852
PSA0p2,0.2,0.0471353453479,g,0.00869645850375,0.000915938471008,0.00778052003274
PSA0p2,0.2,0.0477923864994,g,0.00868816079327,0.000915937903789,0.00777222288948
PSA0p2,0.2,0.0484585864482,g,0.00867967077645,0.000915937297874,0.00776373347858
PSA0p2,0.2,0.049134072863,g,0.00867098592066,0.000915936650852,0.00775504926981
PSA0p2,0.2,0.0498189751921,g,0.00866210371464,0.000915935960174,0.00774616775446
PSA0p2,0.2,0.0505134246882,g,0.00865302167002,0.00091593522315,0.00773708644687
PSA0p2,0.2,0.0512175544336,g,0.00864373732291,0.000915934436938,0.00772780288597
PSA0p2,0.2,0.0519314993659,g,0.00863424823537,0.000915933598535,0.00771831463684
PSA0p2,0.2,0.0526553963033,g,0.00862455199701,0.000915932704785,0.00770861929222
PSA0p2,0.2,0.0533893839715,g,0.00861464622642,0.000915931752371,0.00769871447405
PSA0p2,0.2,0.0541336030297,g,0.00860452857275,0.000915930737787,0.00768859783496
PSA0p2,0.2,0.0548881960979,g,0.00859419671711,0.000915929657341,0.00767826705977
PSA0p2,0.2,0.0556533077843,g,0.0085836483741,0.000915928507142,0.00766771986696
PSA0p2,0.2,0.0564290847126,g,0.00857288129321,0.000915927283098,0.00765695401012
PSA0p2,0.2,0.0572156755506,g,0.0085618932603,0.000915925980899,0.0076459672794
PSA0p2,0.2,0.0580132310383,g,0.00855068209894,0.000915924596014,0.00763475750292
PSA0p2,0.2,0.058821904017,g,0.00853924567186,0.000915923123673,0.00762332254818
PSA0p2,0.2,0.0596418494584,g,0.00852758188227,0.000915921558866,0.0076116603234
PSA0p2,0.2,0.0604732244946,g,0.00851568867519,0.000915919896321,0.00759976877887
PSA0p2,0.2,0.061316188448,g,0.00850356403879,0.000915918130501,0.00758764590829
