case,x_type,M_center,x_center,epsilon_center,contribution_fraction,contribution_percent
PSA0p2_total,Rrup_km,6.25,3.65,5,4.060209989e-07,4.06021e-05
PSA0p2_total,Rrup_km,6.25,4.05,1,1.924164249e-06,0.00019241642
PSA0p2_total,Rrup_km,6.25,4.05,3,0.0001718449888,0.017184499
PSA0p2_total,Rrup_km,6.25,4.05,5,4.058597347e-07,4.0585973e-05
PSA0p2_total,Rrup_km,6.25,4.45,3,0.000148606342,0.014860634
PSA0p2_total,Rrup_km,6.25,4.45,5,4.060209989e-07,4.06021e-05
PSA0p2_total,Rrup_km,6.35,0.05,1,0.00186627532,0.18662753
PSA0p2_total,Rrup_km,6.35,0.05,3,0.001561456835,0.15614568
PSA0p2_total,Rrup_km,6.35,0.05,5,2.719831586e-06,0.00027198316
PSA0p2_total,Rrup_km,6.35,1.05,1,0.0001572940794,0.015729408
PSA0p2_total,Rrup_km,6.35,1.05,3,0.0001938726886,0.019387269
PSA0p2_total,Rrup_km,6.35,1.05,5,3.399789483e-07,3.3997895e-05
PSA0p2_total,Rrup_km,6.35,1.95,1,0.0006678797035,0.06678797
PSA0p2_total,Rrup_km,6.35,1.95,3,0.001546757367,0.15467574
PSA0p2_total,Rrup_km,6.35,1.95,5,2.720730756e-06,0.00027207308
PSA0p2_total,Rrup_km,6.35,2.05,1,8.430506424e-05,0.0084305064
PSA0p2_total,Rrup_km,6.35,2.05,3,0.0001932716133,0.019327161
PSA0p2_total,Rrup_km,6.35,2.05,5,3.399789483e-07,3.3997895e-05
PSA0p2_total,Rrup_km,6.35,2.25,1,6.699585445e-05,0.0066995854
PSA0p2_total,Rrup_km,6.35,2.25,3,0.0001931484662,0.019314847
PSA0p2_total,Rrup_km,6.35,2.25,5,3.400903671e-07,3.4009037e-05
PSA0p2_total,Rrup_km,6.35,2.85,1,3.144786946e-05,0.0031447869
PSA0p2_total,Rrup_km,6.35,2.85,3,0.0001893318823,0.018933188
PSA0p2_total,Rrup_km,6.35,2.85,5,3.400903671e-07,3.4009037e-05
PSA0p2_total,Rrup_km,6.35,3.05,1,2.432683737e-05,0.0024326837
PSA0p2_total,Rrup_km,6.35,3.05,3,0.0001862815472,0.018628155
PSA0p2_total,Rrup_km,6.35,3.05,5,3.399789483e-07,3.3997895e-05
PSA0p2_total,Rrup_km,6.35,3.65,1,1.150643848e-05,0.0011506438
PSA0p2_total,Rrup_km,6.35,3.65,3,0.0001636586362,0.016365864
PSA0p2_total,Rrup_km,6.35,3.65,5,3.400903671e-07,3.4009037e-05
PSA0p2_total,Rrup_km,6.35,4.05,1,3.548387029e-06,0.0003548387
PSA0p2_total,Rrup_km,6.35,4.05,3,0.0001516928393,0.015169284
PSA0p2_total,Rrup_km,6.35,4.05,5,3.399789483e-07,3.3997895e-05
PSA0p2_total,Rrup_km,6.35,4.45,3,0.0001333302328,0.013333023
PSA0p2_total,Rrup_km,6.35,4.45,5,3.400903671e-07,3.4009037e-05
PSA0p2_total,Rrup_km,6.45,0.05,1,0.001679893105,0.16798931
PSA0p2_total,Rrup_km,6.45,0.05,3,0.001350239947,0.13502399
PSA0p2_total,Rrup_km,6.45,0.05,5,2.329621312e-06,0.00023296213
PSA0p2_total,Rrup_km,6.45,1.05,1,0.0001452911429,0.014529114
PSA0p2_total,Rrup_km,6.45,1.05,3,0.0001673628239,0.016736282
PSA0p2_total,Rrup_km,6.45,1.05,5,2.912019309e-07,2.9120193e-05
PSA0p2_total,Rrup_km,6.45,1.95,1,0.0006522722699,0.065227227
PSA0p2_total,Rrup_km,6.45,1.95,3,0.00133494429,0.13349443
PSA0p2_total,Rrup_km,6.45,1.95,5,2.330588896e-06,0.00023305889
PSA0p2_total,Rrup_km,6.45,2.05,1,8.226306968e-05,0.008226307
PSA0p2_total,Rrup_km,6.45,2.05,3,0.0001667891146,0.016678911
PSA0p2_total,Rrup_km,6.45,2.05,5,2.912019309e-07,2.9120193e-05
PSA0p2_total,Rrup_km,6.45,2.25,1,6.71940627e-05,0.0067194063
PSA0p2_total,Rrup_km,6.45,2.25,3,0.0001666816052,0.016668161
PSA0p2_total,Rrup_km,6.45,2.25,5,2.913241007e-07,2.913241e-05
PSA0p2_total,Rrup_km,6.45,2.85,1,3.332136746e-05,0.0033321367
PSA0p2_total,Rrup_km,6.45,2.85,3,0.0001661479676,0.016614797
PSA0p2_total,Rrup_km,6.45,2.85,5,2.913241007e-07,2.913241e-05
PSA0p2_total,Rrup_km,6.45,3.05,1,2.463802824e-05,0.0024638028
PSA0p2_total,Rrup_km,6.45,3.05,3,0.0001659026507,0.016590265
PSA0p2_total,Rrup_km,6.45,3.05,5,2.912019309e-07,2.9120193e-05
PSA0p2_total,Rrup_km,6.45,3.65,1,1.160554261e-05,0.0011605543
PSA0p2_total,Rrup_km,6.45,3.65,3,0.0001477325838,0.014773258
PSA0p2_total,Rrup_km,6.45,3.65,5,2.913241007e-07,2.913241e-05
PSA0p2_total,Rrup_km,6.45,4.05,1,4.738838678e-06,0.00047388387
PSA0p2_total,Rrup_km,6.45,4.05,3,0.0001369699149,0.013696991
PSA0p2_total,Rrup_km,6.45,4.05,5,2.912019309e-07,2.9120193e-05
